epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_roc_auc,elapsed_s
1,0.574845,0.399745,0.80136,0.896978,0.724164,0.932506,3014.9
2,0.385452,0.344964,0.809115,0.800596,0.817817,0.945453,6022.8
3,0.352515,0.321751,0.851165,0.918823,0.792788,0.950748,9032.9
4,0.336822,0.328276,0.857379,0.978218,0.763112,0.952307,12043.2
5,0.327414,0.318132,0.857623,0.928563,0.796754,0.951238,15056.3
6,0.319559,0.296867,0.866568,0.917498,0.820994,0.954567,18069.7
7,0.314426,0.307863,0.86929,0.964856,0.79095,0.9547,21080.8
8,0.304993,0.287931,0.871573,0.929668,0.820311,0.958166,24089.5
9,0.295719,0.276787,0.87928,0.933581,0.830948,0.960327,27098.3
10,0.290598,0.273648,0.878228,0.923741,0.836988,0.961096,30109.2
11,0.284761,0.297163,0.875501,0.965459,0.800877,0.959312,33118.1
12,0.277802,0.264734,0.888448,0.949081,0.835097,0.963698,36133.1
13,0.27018,0.252265,0.887011,0.925382,0.851695,0.966104,39143.8
14,0.265328,0.254582,0.888797,0.936256,0.845917,0.966109,42154.9
15,0.261246,0.24138,0.88598,0.910085,0.863119,0.969145,45168.2
16,0.258031,0.247249,0.896069,0.952942,0.845602,0.96802,48182.6
17,0.253913,0.249647,0.895018,0.964133,0.83515,0.969485,51197.7
18,0.251819,0.249714,0.872036,0.863955,0.880269,0.96928,54212.6
19,0.248688,0.240764,0.903303,0.976559,0.840271,0.971936,57227.1
20,0.245563,0.237826,0.90154,0.960116,0.849699,0.971079,60244.2
21,0.243608,0.228502,0.901356,0.941202,0.864748,0.972376,63255.7
22,0.240778,0.228328,0.893784,0.913604,0.874806,0.972905,66267.2
23,0.237461,0.22804,0.909116,0.968719,0.856423,0.972554,69279.2
24,0.235618,0.227971,0.894937,0.917372,0.873572,0.971997,72289.6
25,0.233839,0.230252,0.907184,0.965611,0.855425,0.972289,75301.8
26,0.231316,0.216409,0.902149,0.923814,0.881477,0.974394,78316.1
27,0.228978,0.215601,0.90941,0.952057,0.87042,0.974795,81329.1
28,0.228018,0.229813,0.884135,0.885299,0.882974,0.971503,84341.2
29,0.226314,0.250389,0.902128,0.988057,0.82995,0.974298,87351.3
30,0.224695,0.212125,0.90595,0.933352,0.880111,0.975798,90363.4
31,0.223137,0.222802,0.91225,0.982248,0.851564,0.975343,93373.3
32,0.222333,0.215906,0.914574,0.976788,0.85981,0.976352,96385.8
33,0.221426,0.234765,0.910553,0.987564,0.844683,0.974448,99395.0
34,0.219328,0.21622,0.899863,0.917497,0.882895,0.974711,102409.2
35,0.218788,0.213131,0.916156,0.972204,0.866218,0.976424,105421.3
36,0.217011,0.223443,0.91521,0.990489,0.850566,0.97612,108434.4
37,0.216876,0.210566,0.903812,0.916514,0.891457,0.975495,111445.6
38,0.216117,0.210881,0.916983,0.975367,0.865194,0.977424,114457.5
39,0.215171,0.199953,0.912362,0.940052,0.886257,0.977881,117466.7
40,0.214177,0.204878,0.904314,0.920093,0.889067,0.977475,120474.0
41,0.21311,0.199281,0.92135,0.968774,0.878352,0.978827,123487.8
42,0.212174,0.200256,0.915137,0.949489,0.883184,0.978097,126498.6
43,0.21091,0.199352,0.900662,0.901492,0.899835,0.978425,129507.7
44,0.210868,0.206581,0.890343,0.882262,0.898574,0.977444,132515.9
45,0.209125,0.201197,0.918013,0.956349,0.882633,0.978112,135527.3
46,0.208012,0.206958,0.921025,0.979006,0.869528,0.978439,138538.0
47,0.20776,0.200917,0.920946,0.971027,0.875778,0.979019,141548.0
48,0.208406,0.209711,0.920662,0.985295,0.863986,0.978898,144557.1
49,0.207062,0.193565,0.91862,0.954136,0.885653,0.979406,147567.7
50,0.19549,0.189065,0.923209,0.95965,0.889435,0.98017,150578.6
51,0.193521,0.19102,0.926618,0.977471,0.880794,0.980764,153588.4
52,0.193495,0.186026,0.918998,0.941931,0.897156,0.980528,156600.9
53,0.192815,0.188438,0.923811,0.96323,0.887491,0.980088,159612.9
54,0.191786,0.196055,0.926372,0.981685,0.87696,0.979991,162623.8
55,0.192421,0.184823,0.928453,0.975474,0.885758,0.981436,165633.3
56,0.191668,0.20355,0.925161,0.992538,0.86635,0.981297,168645.8
57,0.191753,0.186606,0.92688,0.97207,0.885705,0.981404,171654.1
58,0.18999,0.19436,0.92574,0.982773,0.874964,0.981892,174662.1
59,0.190282,0.200562,0.92359,0.985293,0.86916,0.980592,177672.7
60,0.189492,0.192948,0.925565,0.98374,0.873887,0.982118,180682.5
61,0.189111,0.178459,0.92891,0.966316,0.894293,0.982294,183695.2
62,0.188937,0.185772,0.91908,0.942827,0.896499,0.980887,186705.6
63,0.187362,0.188571,0.928262,0.982149,0.87998,0.981544,189714.1
64,0.188127,0.202533,0.925892,0.991367,0.86853,0.982023,192725.7
65,0.187375,0.195945,0.925983,0.982724,0.875437,0.98162,195731.9
66,0.187078,0.180645,0.926551,0.963082,0.892691,0.982437,198743.7
67,0.187331,0.174859,0.930034,0.968628,0.894398,0.983475,201751.2
68,0.186572,0.180697,0.928229,0.97,0.889907,0.983176,204760.2
69,0.185938,0.181368,0.930358,0.981462,0.884313,0.983126,207770.0
70,0.185453,0.196992,0.926615,0.989852,0.870972,0.98237,210781.5
71,0.184596,0.186079,0.928122,0.979494,0.881871,0.982888,213792.8
72,0.185264,0.183438,0.928597,0.972245,0.888699,0.982548,216802.7
73,0.184753,0.179717,0.925537,0.958893,0.894424,0.982652,219812.5
74,0.183993,0.178537,0.9295,0.978043,0.885548,0.983775,222823.0
75,0.183681,0.172934,0.926354,0.952981,0.901174,0.983991,225833.3
76,0.184048,0.182667,0.930814,0.983482,0.883499,0.983494,228845.0
77,0.183407,0.184157,0.928907,0.981211,0.881897,0.983231,231853.6
78,0.182811,0.175654,0.929474,0.96846,0.893505,0.98357,234863.7
79,0.182857,0.180296,0.930648,0.985497,0.881582,0.984216,237876.5
80,0.182009,0.180679,0.928271,0.976156,0.884865,0.983342,240889.0
81,0.182161,0.170304,0.929925,0.962458,0.899519,0.984704,243898.5
82,0.181691,0.180626,0.931206,0.984915,0.883053,0.984534,247421.8
83,0.180976,0.173564,0.931708,0.979889,0.888043,0.985079,251951.2
84,0.18229,0.181827,0.93028,0.98239,0.88342,0.983407,256481.3
85,0.180903,0.17661,0.932231,0.980886,0.888174,0.984672,261001.3
86,0.180919,0.170421,0.924753,0.948929,0.901778,0.984355,265514.9
87,0.180747,0.180951,0.930812,0.980889,0.8856,0.984212,270036.9
88,0.180555,0.166863,0.927353,0.952515,0.903485,0.985177,274561.0
89,0.180013,0.168447,0.932188,0.974559,0.893348,0.985817,279079.6
90,0.179251,0.173651,0.931423,0.98038,0.887123,0.985575,283603.6
91,0.179101,0.173274,0.932517,0.979476,0.889855,0.984979,288124.3
92,0.178736,0.189333,0.929236,0.98941,0.875962,0.984362,292649.1
93,0.178857,0.168279,0.933189,0.976907,0.893216,0.985626,297167.9
94,0.178517,0.176271,0.932129,0.98463,0.884944,0.98486,301685.8
95,0.177803,0.168038,0.927619,0.954897,0.901857,0.985026,306207.5
96,0.178334,0.166826,0.931657,0.969101,0.896998,0.985321,310728.3
97,0.177755,0.181141,0.931531,0.990997,0.878798,0.985758,315245.9
98,0.177712,0.17684,0.931683,0.986669,0.882501,0.985429,319767.4
99,0.17691,0.166812,0.932098,0.968434,0.89839,0.985264,324284.1
100,0.176809,0.176936,0.932172,0.983753,0.885732,0.984489,328799.8
101,0.17668,0.175649,0.932469,0.98464,0.885548,0.985377,333316.4
102,0.168378,0.179461,0.932938,0.987647,0.883972,0.985978,337834.9
